student_id,hours_studied,attendance_rate,previous_score,sleep_hours,tutoring_sessions,parental_education,internet_access,extracurricular_activities,peer_study_group,stress_level,final_score,performance_tier
STU_10022,15.4,63.2,78.7,6.5,1,High School,Yes,No,Yes,9,75.5,Merit
STU_10023,5.7,72.9,85.0,6.6,1,Bachelor's,Yes,Yes,No,8,84.6,Merit
STU_10024,11.5,75.2,64.7,8.8,4,Some College,Yes,No,Yes,6,94.5,Distinction
STU_10025,15.7,79.0,60.7,5.7,1,High School,Yes,Yes,No,6,88.2,Distinction
STU_10026,7.5,98.7,68.3,6.4,3,Some College,No,No,Yes,8,87.2,Distinction
STU_10027,17.4,72.8,60.4,6.5,0,Some College,Yes,Yes,No,9,73.4,Merit
STU_10028,11.1,52.7,78.8,7.2,1,Doctorate,Yes,Yes,Yes,8,85.8,Distinction
STU_10029,13.1,78.3,58.1,6.9,1,Master's,Yes,No,No,1,85.4,Distinction
STU_10030,11.1,70.3,99.0,5.4,0,Some College,Yes,Yes,No,2,85.7,Distinction
STU_10031,27.0,93.5,87.6,6.7,1,Master's,No,No,No,6,100.0,Distinction
STU_10032,14.9,75.6,72.2,7.1,1,Some College,Yes,Yes,No,8,92.0,Distinction
STU_10033,8.1,64.6,82.4,6.4,1,Bachelor's,Yes,No,No,4,85.5,Distinction
STU_10034,20.3,61.9,52.4,8.0,2,Doctorate,No,No,Yes,4,87.1,Distinction
STU_10035,7.1,80.0,99.0,8.3,1,Some College,Yes,Yes,No,2,100.0,Distinction
STU_10036,16.4,76.1,64.9,7.1,0,Bachelor's,Yes,No,Yes,10,88.1,Distinction
STU_10037,2.3,77.7,70.6,7.5,2,Some College,No,Yes,No,1,80.5,Merit
STU_10038,6.4,66.0,49.7,4.6,0,Some College,Yes,Yes,Yes,10,44.3,At-Risk
STU_10039,16.3,83.1,77.8,6.7,0,Bachelor's,No,No,Yes,9,88.9,Distinction
STU_10040,19.8,93.0,58.7,8.4,0,Doctorate,Yes,No,Yes,7,99.8,Distinction
STU_10041,16.1,50.5,73.2,6.7,0,Some College,Yes,Yes,No,9,73.0,Merit
STU_10042,14.2,62.8,65.5,6.3,0,Master's,No,Yes,No,2,81.6,Merit
STU_10043,13.0,74.1,59.1,9.9,0,Master's,Yes,No,Yes,10,67.7,Pass
STU_10044,5.4,92.1,62.3,9.4,0,Some College,Yes,Yes,No,5,82.7,Merit
STU_10045,10.3,94.5,74.7,7.8,2,Some College,Yes,No,No,2,100.0,Distinction
STU_10046,12.0,66.5,56.6,8.6,0,Bachelor's,Yes,No,No,10,72.3,Merit
STU_10047,21.9,95.6,63.0,4.5,1,Some College,No,Yes,No,7,81.1,Merit
STU_10048,17.2,95.6,80.0,6.3,3,High School,Yes,Yes,No,9,100.0,Distinction
STU_10049,3.5,86.8,99.0,6.6,2,Doctorate,Yes,Yes,No,3,100.0,Distinction
STU_10050,17.1,78.2,77.7,6.9,0,Bachelor's,Yes,No,Yes,1,100.0,Distinction
STU_10051,12.5,77.3,61.0,6.6,4,Some College,No,No,No,4,94.1,Distinction
STU_10052,10.6,76.1,67.6,4.1,0,Bachelor's,Yes,No,Yes,4,77.1,Merit
STU_10053,19.0,63.9,72.4,7.7,0,High School,Yes,Yes,No,6,85.3,Distinction
STU_10054,21.7,67.5,67.8,7.9,5,Some College,Yes,No,No,5,98.5,Distinction
STU_10055,21.1,68.7,82.8,9.1,3,Master's,Yes,Yes,Yes,5,100.0,Distinction
STU_10056,9.5,68.2,74.6,6.3,1,Master's,Yes,No,No,9,83.2,Merit
STU_10057,13.0,55.7,82.9,6.2,2,Some College,Yes,Yes,No,1,88.8,Distinction
STU_10058,17.2,94.9,68.2,4.0,2,Some College,Yes,No,Yes,8,81.0,Merit
STU_10059,21.3,74.6,87.9,6.8,0,Bachelor's,Yes,No,No,8,94.5,Distinction
STU_10060,11.9,61.9,70.0,8.3,0,Some College,Yes,Yes,No,8,80.6,Merit
STU_10061,13.8,48.8,60.3,6.5,1,High School,No,No,Yes,3,67.8,Pass
STU_10062,7.8,88.4,98.1,9.8,3,Some College,Yes,Yes,No,10,86.0,Distinction
STU_10063,7.2,68.7,50.1,6.9,0,Bachelor's,Yes,Yes,Yes,8,71.4,Merit
STU_10064,20.3,78.5,63.1,7.4,2,High School,Yes,Yes,No,2,95.5,Distinction
STU_10065,23.8,62.3,64.5,5.6,0,High School,No,No,Yes,8,65.7,Pass
STU_10066,14.5,84.1,99.0,7.5,1,High School,Yes,No,No,8,100.0,Distinction
STU_10067,21.5,80.4,93.7,4.8,2,Some College,Yes,No,Yes,3,95.4,Distinction
STU_10068,17.4,45.0,89.9,8.0,2,Some College,Yes,No,Yes,4,93.5,Distinction
STU_10069,10.8,88.1,68.0,8.1,0,Some College,Yes,Yes,No,9,86.2,Distinction
STU_10070,17.3,90.4,99.0,8.8,1,Some College,Yes,Yes,No,9,99.0,Distinction
STU_10071,25.0,76.2,76.4,6.0,1,Master's,Yes,Yes,No,10,88.6,Distinction
STU_10072,14.8,70.4,83.7,7.4,0,High School,Yes,No,No,9,81.0,Merit
STU_10073,25.2,89.3,74.2,7.9,0,Some College,Yes,No,No,10,95.0,Distinction
STU_10074,2.0,81.4,71.4,7.7,2,Master's,Yes,Yes,No,6,89.8,Distinction
STU_10075,20.3,77.2,69.0,6.2,1,Bachelor's,Yes,No,No,1,100.0,Distinction
STU_10076,15.6,71.6,69.5,4.3,0,Bachelor's,Yes,No,No,8,64.2,Pass
STU_10077,13.1,79.2,79.3,7.6,1,Some College,Yes,Yes,No,9,90.1,Distinction
STU_10078,15.6,93.6,76.4,7.0,3,High School,Yes,Yes,Yes,8,100.0,Distinction
STU_10079,2.1,83.4,71.6,6.5,0,Bachelor's,No,No,No,1,67.6,Pass
STU_10080,13.6,60.1,90.1,8.1,2,Bachelor's,Yes,Yes,No,6,100.0,Distinction
STU_10081,17.3,76.6,38.0,7.1,0,High School,Yes,No,No,9,72.1,Merit
STU_10082,24.6,79.1,78.1,5.6,0,Some College,Yes,Yes,Yes,9,89.5,Distinction
STU_10083,11.6,77.6,80.6,4.9,0,Master's,Yes,Yes,No,7,84.4,Merit
STU_10084,9.7,73.7,85.8,5.8,1,High School,Yes,Yes,Yes,7,89.2,Distinction
STU_10085,11.7,75.7,71.2,10.0,3,Some College,Yes,No,No,4,82.8,Merit
STU_10086,21.0,49.2,74.5,8.1,0,Some College,Yes,Yes,No,7,81.4,Merit
STU_10087,17.1,80.1,83.8,7.4,2,Bachelor's,Yes,No,Yes,10,100.0,Distinction
STU_10088,11.6,66.5,89.9,7.0,1,Bachelor's,Yes,Yes,No,5,96.4,Distinction
STU_10089,18.3,56.8,68.4,6.9,0,Bachelor's,Yes,Yes,No,10,68.8,Pass
STU_10090,15.6,88.4,75.2,8.6,1,Some College,Yes,No,No,5,100.0,Distinction
STU_10091,21.3,89.6,92.1,6.6,2,High School,Yes,Yes,Yes,1,100.0,Distinction
STU_10092,10.4,73.0,46.5,7.9,3,Some College,Yes,No,No,2,83.4,Merit
STU_10093,12.9,95.2,63.7,6.8,3,Bachelor's,Yes,Yes,No,9,94.0,Distinction
STU_10094,12.5,92.2,89.6,9.5,0,Bachelor's,Yes,No,No,2,97.2,Distinction
STU_10095,5.5,83.1,85.1,8.1,2,Doctorate,Yes,No,Yes,10,85.3,Distinction
STU_10096,16.9,68.1,78.3,8.7,0,Some College,Yes,No,Yes,2,84.9,Merit
STU_10097,16.7,78.2,66.6,6.5,2,Bachelor's,Yes,Yes,No,9,87.6,Distinction
STU_10098,15.0,69.4,61.4,8.5,4,Some College,Yes,No,No,3,95.9,Distinction
STU_10099,13.5,85.7,64.9,6.8,0,High School,Yes,Yes,No,2,91.0,Distinction
STU_10100,5.8,68.1,90.6,7.3,1,Some College,Yes,Yes,Yes,7,89.3,Distinction
STU_10101,12.3,71.8,64.5,9.2,2,Some College,Yes,Yes,No,9,71.5,Merit
STU_10102,12.8,82.7,73.2,5.9,2,Master's,Yes,Yes,No,6,99.7,Distinction
STU_10103,9.8,93.9,63.0,7.4,0,Some College,Yes,No,No,7,88.9,Distinction
STU_10104,14.0,61.9,82.1,7.7,5,Doctorate,Yes,No,Yes,3,100.0,Distinction
STU_10105,17.6,56.4,65.5,7.8,2,Some College,Yes,Yes,No,3,86.3,Distinction
STU_10106,27.3,74.5,70.8,6.7,0,High School,Yes,No,No,8,84.7,Merit
STU_10107,16.1,81.9,51.8,9.7,0,High School,Yes,Yes,No,7,78.3,Merit
STU_10108,16.7,84.8,52.6,5.6,2,High School,Yes,No,Yes,5,88.5,Distinction
STU_10109,14.5,71.3,72.1,9.0,0,Some College,Yes,No,No,6,78.2,Merit
STU_10110,2.5,90.5,56.1,8.7,0,High School,Yes,No,No,9,60.3,Pass
STU_10111,14.8,71.2,97.3,9.5,1,Some College,Yes,Yes,Yes,3,95.5,Distinction
STU_10112,15.4,61.5,47.3,5.3,2,Doctorate,Yes,No,No,3,78.1,Merit
STU_10113,31.0,63.6,62.4,6.2,2,Bachelor's,Yes,Yes,Yes,6,90.0,Distinction
STU_10114,13.7,79.6,72.2,9.0,1,Bachelor's,Yes,No,No,8,92.1,Distinction
STU_10115,17.0,76.5,67.6,4.9,2,High School,Yes,Yes,No,5,91.2,Distinction
STU_10116,14.8,88.9,58.8,5.3,5,Some College,Yes,No,Yes,1,95.2,Distinction
STU_10117,7.4,58.9,60.5,6.6,0,Some College,Yes,Yes,Yes,3,74.0,Merit
STU_10118,22.4,67.7,60.1,7.4,2,Master's,No,No,No,8,85.6,Distinction
STU_10119,19.9,79.0,68.6,9.1,4,High School,Yes,No,Yes,4,100.0,Distinction
STU_10120,20.1,89.4,95.4,7.0,2,Some College,Yes,No,No,9,100.0,Distinction
STU_10121,9.1,85.5,72.9,6.5,2,Bachelor's,Yes,No,Yes,6,99.8,Distinction
STU_10122,24.1,92.8,86.2,7.6,0,Some College,Yes,No,No,10,93.0,Distinction
STU_10123,5.9,64.7,78.1,7.8,1,Master's,Yes,No,Yes,4,92.7,Distinction
STU_10124,18.8,92.5,85.4,7.7,1,High School,Yes,Yes,Yes,4,100.0,Distinction
STU_10125,29.2,77.3,38.4,7.0,2,Some College,Yes,No,Yes,10,81.8,Merit
STU_10126,8.6,79.6,68.3,4.9,5,Bachelor's,No,Yes,No,5,90.1,Distinction
STU_10127,11.3,66.5,87.7,6.1,0,Some College,Yes,No,No,7,84.0,Merit
STU_10128,15.6,96.1,65.1,8.9,0,Some College,Yes,No,Yes,7,92.0,Distinction
STU_10129,11.7,67.4,93.1,7.4,0,High School,Yes,Yes,No,10,77.6,Merit
STU_10130,4.9,73.8,89.8,6.8,2,Bachelor's,Yes,No,No,7,90.1,Distinction
STU_10131,15.4,72.0,66.4,8.5,0,Doctorate,Yes,No,Yes,5,91.0,Distinction
STU_10132,8.1,83.1,66.0,5.8,2,Bachelor's,Yes,Yes,No,9,81.1,Merit
STU_10133,18.1,60.6,59.8,6.9,0,Master's,Yes,Yes,No,2,87.0,Distinction
STU_10134,9.0,92.1,64.4,7.4,1,Some College,No,Yes,Yes,8,86.7,Distinction
STU_10135,25.1,76.3,57.2,6.7,0,High School,Yes,No,Yes,10,77.6,Merit
STU_10136,9.9,96.6,77.1,7.3,3,High School,Yes,Yes,No,8,99.3,Distinction
STU_10137,12.9,79.8,54.5,7.0,1,Bachelor's,Yes,No,No,3,88.9,Distinction
STU_10138,20.3,84.4,79.2,5.5,4,Some College,Yes,Yes,Yes,5,100.0,Distinction
STU_10139,7.0,68.8,79.5,7.4,1,Bachelor's,Yes,Yes,No,8,76.6,Merit
STU_10140,16.5,91.3,52.1,5.6,0,Bachelor's,Yes,No,No,10,70.3,Merit
STU_10141,23.5,96.3,90.6,7.4,0,Doctorate,Yes,Yes,Yes,9,100.0,Distinction
STU_10142,4.6,45.0,78.2,8.8,5,Some College,Yes,No,Yes,7,82.0,Merit
STU_10143,16.2,82.0,81.0,6.9,2,Some College,Yes,Yes,Yes,4,100.0,Distinction
STU_10144,16.7,75.6,62.9,5.8,0,Some College,Yes,Yes,No,4,89.0,Distinction
STU_10145,20.1,68.6,79.5,7.0,2,Some College,Yes,Yes,No,3,96.9,Distinction
STU_10146,7.0,74.7,85.5,6.2,1,Master's,Yes,No,No,8,81.2,Merit
STU_10147,6.4,76.0,70.8,7.9,0,High School,Yes,Yes,No,6,85.8,Distinction
STU_10148,18.4,72.7,96.0,7.0,0,Doctorate,Yes,Yes,Yes,10,83.2,Merit
STU_10149,16.9,88.9,72.5,9.3,3,Doctorate,Yes,Yes,No,6,100.0,Distinction
STU_10150,16.6,80.4,85.7,8.6,0,Bachelor's,Yes,Yes,Yes,10,92.1,Distinction
STU_10151,17.3,93.9,75.5,7.0,0,Some College,Yes,No,Yes,10,92.3,Distinction
STU_10152,10.6,76.9,79.0,8.1,0,High School,Yes,No,No,9,82.0,Merit
STU_10153,16.5,85.7,51.9,6.7,0,Some College,Yes,Yes,Yes,3,87.1,Distinction
STU_10154,16.9,62.1,76.5,7.2,1,High School,Yes,Yes,No,4,90.7,Distinction
STU_10155,10.4,72.7,63.2,6.8,0,Some College,Yes,No,No,3,82.1,Merit
STU_10156,27.1,60.1,61.8,8.1,0,High School,Yes,Yes,No,3,85.2,Distinction
STU_10157,18.1,78.1,92.9,8.9,4,Bachelor's,Yes,Yes,Yes,1,100.0,Distinction
STU_10158,7.3,84.7,69.4,8.2,0,Some College,Yes,Yes,Yes,10,77.2,Merit
STU_10159,19.3,74.7,60.0,8.3,1,High School,Yes,Yes,Yes,6,91.2,Distinction
STU_10160,8.7,60.0,67.7,8.3,1,Some College,No,Yes,No,9,68.1,Pass
STU_10161,20.1,73.9,56.4,7.9,1,Doctorate,Yes,Yes,No,5,99.2,Distinction
STU_10162,22.5,79.3,89.2,5.8,3,Bachelor's,Yes,Yes,No,10,98.7,Distinction
STU_10163,9.7,62.3,63.7,9.2,0,Some College,Yes,Yes,No,2,71.1,Merit
STU_10164,21.3,77.4,78.4,9.4,3,Bachelor's,Yes,No,No,10,88.7,Distinction
STU_10165,17.7,60.5,88.3,6.9,2,Bachelor's,Yes,No,No,4,95.3,Distinction
STU_10166,20.3,75.5,66.0,6.8,2,Master's,No,No,Yes,6,100.0,Distinction
STU_10167,27.3,79.3,78.4,7.9,0,High School,Yes,No,No,7,98.2,Distinction
STU_10168,13.4,66.8,59.6,7.9,0,Master's,Yes,Yes,No,7,83.1,Merit
STU_10169,10.1,86.6,99.0,7.0,1,Some College,Yes,Yes,Yes,4,100.0,Distinction
STU_10170,9.2,45.0,83.2,5.7,3,Master's,Yes,No,No,10,70.8,Merit
STU_10171,9.7,79.9,69.7,7.6,1,Some College,Yes,Yes,No,10,77.2,Merit
STU_10172,14.5,74.6,62.7,7.9,0,Master's,Yes,Yes,No,5,90.6,Distinction
STU_10173,17.2,85.6,70.6,8.1,0,Doctorate,Yes,Yes,No,4,100.0,Distinction
STU_10174,16.8,86.5,67.9,7.6,2,High School,Yes,Yes,Yes,10,88.2,Distinction
STU_10175,20.4,84.7,95.4,6.9,2,Doctorate,Yes,No,Yes,6,100.0,Distinction
STU_10176,15.1,89.4,57.3,8.4,0,High School,Yes,No,Yes,7,87.0,Distinction
STU_10177,24.4,57.0,73.6,7.3,0,High School,Yes,No,No,2,85.6,Distinction
STU_10178,13.3,68.6,71.8,6.6,1,Some College,Yes,No,No,10,76.2,Merit
STU_10179,32.7,69.2,70.6,7.0,1,Doctorate,Yes,Yes,Yes,3,100.0,Distinction
STU_10180,19.1,93.8,70.7,5.1,2,Some College,Yes,No,No,8,88.2,Distinction
STU_10181,9.4,84.4,70.6,7.0,3,Bachelor's,Yes,Yes,Yes,7,97.4,Distinction
STU_10182,8.0,56.9,82.5,8.0,2,Bachelor's,Yes,No,Yes,1,88.2,Distinction
STU_10183,18.1,83.5,79.3,7.6,0,Doctorate,Yes,Yes,Yes,4,100.0,Distinction
STU_10184,13.5,79.7,77.0,9.0,2,Bachelor's,Yes,No,Yes,5,100.0,Distinction
STU_10185,19.6,76.7,38.0,6.9,5,High School,Yes,No,Yes,3,96.9,Distinction
STU_10186,18.1,56.5,75.6,7.8,3,Some College,Yes,Yes,Yes,4,94.3,Distinction
STU_10187,14.5,63.5,52.1,8.2,3,High School,Yes,Yes,Yes,10,72.9,Merit
STU_10188,9.5,93.6,79.8,10.0,0,Bachelor's,Yes,Yes,Yes,10,78.1,Merit
STU_10189,5.2,97.5,89.7,7.4,2,High School,Yes,Yes,Yes,10,86.3,Distinction
STU_10190,12.1,75.9,60.9,5.9,3,Some College,Yes,Yes,No,7,87.2,Distinction
STU_10191,20.6,82.8,68.9,8.2,2,Master's,Yes,No,Yes,8,100.0,Distinction
STU_10192,16.4,80.0,64.8,9.4,0,Some College,Yes,Yes,No,9,86.6,Distinction
STU_10193,6.9,72.6,86.8,6.8,4,Bachelor's,Yes,Yes,Yes,2,100.0,Distinction
STU_10194,16.1,75.0,73.1,8.2,1,Some College,No,No,Yes,4,88.6,Distinction
STU_10195,17.5,60.2,92.7,8.7,0,High School,Yes,Yes,Yes,1,91.1,Distinction
STU_10196,9.3,91.5,77.0,8.4,0,Some College,Yes,Yes,No,3,95.9,Distinction
STU_10197,16.0,55.0,74.9,7.4,2,Some College,Yes,No,No,8,83.9,Merit
STU_10198,15.4,96.9,72.8,6.4,1,Master's,Yes,No,No,7,100.0,Distinction
STU_10199,7.6,45.0,81.8,7.1,0,Some College,Yes,Yes,No,8,78.9,Merit
STU_10200,17.3,94.9,51.1,7.8,2,Some College,Yes,Yes,Yes,6,98.9,Distinction
STU_10201,18.6,69.1,73.0,8.3,2,Bachelor's,No,Yes,No,5,97.5,Distinction
STU_10202,22.0,48.3,71.2,7.6,2,Bachelor's,No,Yes,Yes,10,77.3,Merit
STU_10203,21.8,89.9,80.7,6.7,0,Bachelor's,Yes,Yes,Yes,9,99.0,Distinction
STU_10204,6.0,80.0,69.7,7.9,2,Master's,Yes,No,Yes,5,94.7,Distinction
STU_10205,8.9,80.4,59.5,8.2,0,Bachelor's,No,No,Yes,9,73.0,Merit
STU_10206,18.3,83.7,72.1,7.7,0,Some College,Yes,Yes,Yes,4,100.0,Distinction
STU_10207,18.3,77.9,59.0,6.2,1,Bachelor's,Yes,No,No,5,94.9,Distinction
STU_10208,18.3,60.2,48.9,7.0,3,Some College,Yes,Yes,Yes,1,87.9,Distinction
STU_10209,36.0,73.3,80.7,8.3,1,Some College,Yes,Yes,No,6,96.3,Distinction
STU_10210,18.7,76.8,78.9,5.5,0,Some College,Yes,No,Yes,3,92.4,Distinction
STU_10211,22.4,52.7,77.6,4.7,1,High School,Yes,No,No,10,58.7,Pass
STU_10212,21.2,84.6,87.6,9.0,1,High School,Yes,Yes,Yes,2,100.0,Distinction
STU_10213,19.2,73.3,64.0,7.8,4,High School,Yes,Yes,No,6,96.8,Distinction
STU_10214,13.0,45.0,54.8,7.9,4,High School,Yes,No,No,1,77.8,Merit
STU_10215,19.9,79.7,71.2,5.9,0,Master's,Yes,Yes,Yes,9,91.0,Distinction
STU_10216,10.0,73.8,67.8,8.1,0,Master's,Yes,Yes,Yes,5,93.4,Distinction
STU_10217,13.5,60.7,61.9,7.5,0,Bachelor's,Yes,Yes,Yes,7,81.1,Merit
STU_10218,11.8,67.8,71.0,5.3,2,Master's,Yes,No,Yes,10,68.4,Pass
STU_10219,15.5,56.2,64.7,8.9,0,High School,Yes,Yes,Yes,9,68.5,Pass
STU_10220,30.0,65.6,50.0,7.4,0,Master's,No,No,No,9,70.5,Merit
STU_10221,2.9,52.3,66.7,6.7,1,Some College,Yes,Yes,No,7,66.0,Pass
STU_10222,19.5,73.2,58.4,6.7,0,High School,Yes,Yes,No,4,91.5,Distinction
STU_10223,4.5,69.7,74.8,4.8,0,High School,Yes,No,Yes,4,64.3,Pass
STU_10224,11.9,56.5,64.1,7.9,1,Some College,No,Yes,No,7,71.1,Merit
STU_10225,22.1,92.8,85.3,7.5,0,High School,Yes,Yes,Yes,8,100.0,Distinction
STU_10226,15.4,66.0,91.2,7.0,1,Some College,Yes,Yes,Yes,7,100.0,Distinction
STU_10227,8.0,94.8,80.2,8.7,5,High School,Yes,Yes,Yes,10,93.0,Distinction
STU_10228,10.4,69.5,53.4,5.5,0,High School,Yes,No,Yes,4,68.1,Pass
STU_10229,19.4,90.2,90.1,6.5,1,Some College,Yes,Yes,No,4,100.0,Distinction
STU_10230,10.3,88.7,90.9,6.2,4,Doctorate,Yes,No,No,8,100.0,Distinction
STU_10231,16.4,91.5,72.2,6.9,3,High School,Yes,No,No,9,90.0,Distinction
STU_10232,15.3,85.2,87.9,7.3,1,High School,Yes,Yes,No,7,100.0,Distinction
STU_10233,10.8,72.8,65.4,7.7,2,Bachelor's,Yes,Yes,No,3,90.0,Distinction
STU_10234,28.9,88.5,49.6,6.8,0,Master's,Yes,Yes,No,10,78.5,Merit
STU_10235,19.1,92.5,62.9,6.1,2,Some College,Yes,Yes,No,1,100.0,Distinction
STU_10236,2.0,77.7,92.8,9.2,5,Master's,Yes,No,Yes,5,100.0,Distinction
STU_10237,16.2,76.1,54.1,10.0,1,Some College,Yes,Yes,Yes,6,84.5,Merit
STU_10238,10.7,61.8,72.0,7.4,1,High School,Yes,No,No,9,78.9,Merit
STU_10239,20.5,90.4,72.4,6.3,0,Some College,Yes,Yes,Yes,5,100.0,Distinction
STU_10240,9.8,45.0,65.8,9.0,2,Bachelor's,Yes,Yes,No,1,71.4,Merit
STU_10241,14.3,74.3,66.7,5.5,1,Some College,Yes,Yes,Yes,4,83.7,Merit
STU_10242,18.3,63.6,72.9,6.8,2,Bachelor's,Yes,Yes,No,2,92.4,Distinction
STU_10243,20.6,81.7,65.3,6.4,0,High School,Yes,No,No,4,87.6,Distinction
STU_10244,7.2,72.9,54.9,5.8,1,Bachelor's,Yes,No,Yes,7,74.5,Merit
STU_10245,12.8,62.9,74.6,6.9,1,Some College,No,Yes,No,9,71.2,Merit
STU_10246,11.9,74.6,84.9,6.2,0,Some College,Yes,No,No,3,89.8,Distinction
STU_10247,10.8,73.6,82.4,7.2,0,Bachelor's,Yes,No,No,3,94.6,Distinction
STU_10248,26.5,86.7,62.3,7.2,0,Bachelor's,No,No,Yes,4,100.0,Distinction
STU_10249,17.6,84.4,57.0,6.5,2,High School,Yes,No,No,7,91.1,Distinction
STU_10250,6.8,92.7,68.6,6.8,2,Master's,Yes,No,Yes,6,95.7,Distinction
STU_10251,21.0,70.3,90.8,6.9,3,Bachelor's,Yes,Yes,No,5,100.0,Distinction
STU_10252,28.8,79.5,79.7,8.2,0,High School,Yes,Yes,No,4,100.0,Distinction
STU_10253,21.7,82.3,80.4,7.0,3,Doctorate,No,Yes,No,8,100.0,Distinction
STU_10254,5.1,61.8,82.7,8.2,2,Bachelor's,Yes,No,Yes,4,87.6,Distinction
STU_10255,11.9,94.9,77.0,7.9,1,Some College,Yes,No,No,3,100.0,Distinction
STU_10256,23.2,80.1,73.4,7.9,0,High School,Yes,No,No,7,100.0,Distinction
STU_10257,10.4,88.4,79.9,8.9,0,Some College,Yes,No,Yes,2,100.0,Distinction
STU_10258,17.9,81.0,65.4,5.9,4,High School,Yes,Yes,No,4,99.0,Distinction
STU_10259,20.0,45.0,55.0,6.6,0,Some College,Yes,No,No,8,67.7,Pass
STU_10260,9.0,92.2,80.7,9.3,0,Some College,Yes,No,No,4,91.0,Distinction
STU_10261,14.6,68.7,86.9,6.9,0,Bachelor's,Yes,No,No,10,76.5,Merit
STU_10262,2.0,93.8,58.6,4.0,3,High School,Yes,No,Yes,7,63.0,Pass
STU_10263,8.3,79.9,81.9,7.0,0,Bachelor's,Yes,Yes,Yes,2,100.0,Distinction
STU_10264,13.4,91.4,92.2,7.4,0,Some College,Yes,Yes,Yes,5,100.0,Distinction
STU_10265,6.9,98.4,72.0,4.1,1,Some College,Yes,No,Yes,4,75.4,Merit
STU_10266,25.6,70.8,62.2,8.8,1,Bachelor's,Yes,Yes,Yes,9,80.8,Merit
STU_10267,5.7,78.5,73.5,6.3,1,Bachelor's,Yes,Yes,Yes,7,88.2,Distinction
STU_10268,12.1,81.0,65.4,7.6,1,Some College,Yes,Yes,Yes,9,89.1,Distinction
STU_10269,15.8,80.6,64.6,6.9,3,Some College,Yes,Yes,No,10,86.1,Distinction
STU_10270,24.4,59.0,77.2,5.7,3,Some College,Yes,No,No,7,88.2,Distinction
STU_10271,5.7,83.3,52.8,5.9,2,Bachelor's,Yes,No,No,2,83.5,Merit
STU_10272,22.6,79.6,54.7,6.1,0,Some College,Yes,No,Yes,2,91.3,Distinction
STU_10273,15.1,82.6,72.2,8.5,2,Bachelor's,Yes,Yes,Yes,2,100.0,Distinction
STU_10274,8.6,93.1,71.7,7.0,0,Bachelor's,Yes,No,Yes,5,100.0,Distinction
STU_10275,18.0,76.9,76.1,6.6,0,High School,No,No,No,1,88.8,Distinction
STU_10276,16.3,67.9,94.5,6.1,4,Some College,Yes,No,No,7,100.0,Distinction
STU_10277,11.1,99.1,73.3,8.6,3,High School,Yes,No,No,2,97.3,Distinction
STU_10278,15.5,48.3,79.2,9.0,1,Some College,Yes,No,No,4,85.8,Distinction
STU_10279,12.5,90.3,60.3,8.6,3,Some College,Yes,Yes,No,9,90.7,Distinction
STU_10280,15.7,82.2,81.2,7.8,5,Some College,No,Yes,No,8,99.1,Distinction
STU_10281,19.3,92.4,65.7,7.5,2,Bachelor's,Yes,No,Yes,10,96.9,Distinction
